"STATE","FIRST NAME","GENERAL %"
"Virginia","Michael A.",0.003176933728993577
"Virginia","Ralph",0.000748194312910307
"Virginia","David",3.2516593624183845e-05
"Virginia","Walter F.",7.191169743809888e-06
"Virginia","Joseph",3.1265955407869076e-07
"Washington","John",0.5282114831183694
"Washington","George",0.45640281992414355
"Washington","Ralph",0.008143517294350219
"Washington","Michael",0.004181409150623067
"Washington","Michael Anthony",0.0013717680208066639
"Washington","David",0.0010401932926769552
"Washington","John",0.0003766940740460931
"Washington","James",0.0001913200171803277
"Washington","Bill",8.079510780375812e-05
"West Virginia","George W.",0.5606367089260696
"West Virginia","John F.",0.43199711067924174
"West Virginia","Ralph",0.005375142051655869
"West Virginia","Michael",0.0018587434365189505
"West Virginia","Michael",0.00010848182334131954
"West Virginia","John",1.719833784679456e-05
"West Virginia","David",6.614745325690215e-06
"Wisconsin","John F.",0.49699717084411216
"Wisconsin","George W.",0.49319871458425024
"Wisconsin","Ralph",0.005468789362187009
"Wisconsin","Michael",0.00215681845254282
"Wisconsin","David",0.0008878858140805143
"Wisconsin","Walter F.",0.00015715679009091404
"Wisconsin","James",0.000137136816830925
"Wyoming","George W.",0.6886184005126773
"Wyoming","John F.",0.2907471613783131
"Wyoming","Ralph",0.011260002957753422
"Wyoming","Michael",0.004810457301542961
"Wyoming","Michael A.",0.0025921422350756694
"Wyoming","",""
